City,Country,Edition,Sport,Discipline,Athlete,NOC,Country,Gender,Event,Event_gender,Medal
Athens,Greece,1896,Aquatics,Swimming,"HAJOS, Alfred",HUN,Hungary,Men,100m freestyle,Men,Gold
Athens,Greece,1896,Aquatics,Swimming,"HERSCHMANN, Otto",AUT,Austria,Men,100m freestyle,Men,Silver
Athens,Greece,1896,Aquatics,Swimming,"DRIVAS, Dimitrios",GRE,Greece,Men,100m freestyle for sailors,Men,Bronze
Athens,Greece,1896,Aquatics,Swimming,"MALOKINIS, Ioannis",GRE,Greece,Men,100m freestyle for sailors,Men,Gold
Athens,Greece,1896,Aquatics,Swimming,"CHASAPIS, Spiridon",GRE,Greece,Men,100m freestyle for sailors,Men,Silver
Athens,Greece,1896,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Greece,Men,1200m freestyle,Men,Bronze
Athens,Greece,1896,Aquatics,Swimming,"HAJOS, Alfred",HUN,Hungary,Men,1200m freestyle,Men,Gold
Athens,Greece,1896,Aquatics,Swimming,"ANDREOU, Joannis",GRE,Greece,Men,1200m freestyle,Men,Silver
Athens,Greece,1896,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Greece,Men,400m freestyle,Men,Bronze
Athens,Greece,1896,Aquatics,Swimming,"NEUMANN, Paul",AUT,Austria,Men,400m freestyle,Men,Gold
Athens,Greece,1896,Aquatics,Swimming,"PEPANOS, Antonios",GRE,Greece,Men,400m freestyle,Men,Silver
Athens,Greece,1896,Athletics,Athletics,"LANE, Francis",USA,United States,Men,100m,Men,Bronze
Athens,Greece,1896,Athletics,Athletics,"SZOKOLYI, Alajos",HUN,Hungary,Men,100m,Men,Bronze
Athens,Greece,1896,Athletics,Athletics,"BURKE, Thomas",USA,United States,Men,100m,Men,Gold
Athens,Greece,1896,Athletics,Athletics,"HOFMANN, Fritz",GER,Germany,Men,100m,Men,Silver
Athens,Greece,1896,Athletics,Athletics,"CURTIS, Thomas",USA,United States,Men,110m hurdles,Men,Gold
Athens,Greece,1896,Athletics,Athletics,"GOULDING, Grantley",GBR,United Kingdom,Men,110m hurdles,Men,Silver
Athens,Greece,1896,Athletics,Athletics,"LERMUSIAUX, Albin",FRA,France,Men,1500m,Men,Bronze
Athens,Greece,1896,Athletics,Athletics,"FLACK, Edwin",AUS,Australia,Men,1500m,Men,Gold
Athens,Greece,1896,Athletics,Athletics,"BLAKE, Arthur",USA,United States,Men,1500m,Men,Silver
Athens,Greece,1896,Athletics,Athletics,"GMELIN, Charles",GBR,United Kingdom,Men,400m,Men,Bronze
Athens,Greece,1896,Athletics,Athletics,"BURKE, Thomas",USA,United States,Men,400m,Men,Gold
Athens,Greece,1896,Athletics,Athletics,"JAMISON, Herbert",USA,United States,Men,400m,Men,Silver
Athens,Greece,1896,Athletics,Athletics,"GOLEMIS, Dimitrios",GRE,Greece,Men,800m,Men,Bronze
Athens,Greece,1896,Athletics,Athletics,"FLACK, Edwin",AUS,Australia,Men,800m,Men,Gold
Athens,Greece,1896,Athletics,Athletics,"DANI, Nandor",HUN,Hungary,Men,800m,Men,Silver
Athens,Greece,1896,Athletics,Athletics,"VERSIS, Sotirios",GRE,Greece,Men,discus throw,Men,Bronze
Athens,Greece,1896,Athletics,Athletics,"GARRETT, Robert",USA,United States,Men,discus throw,Men,Gold
Athens,Greece,1896,Athletics,Athletics,"PARASKEVOPOULOS, Panagiotis",GRE,Greece,Men,discus throw,Men,Silver
Athens,Greece,1896,Athletics,Athletics,"CLARK, Ellery",USA,United States,Men,high jump,Men,Gold
Athens,Greece,1896,Athletics,Athletics,"CONNOLLY, James",USA,United States,Men,high jump,Men,Silver
Athens,Greece,1896,Athletics,Athletics,"GARRETT, Robert",USA,United States,Men,high jump,Men,Silver
Athens,Greece,1896,Athletics,Athletics,"CONNOLLY, James",USA,United States,Men,long jump,Men,Bronze
Athens,Greece,1896,Athletics,Athletics,"CLARK, Ellery",USA,United States,Men,long jump,Men,Gold
Athens,Greece,1896,Athletics,Athletics,"GARRETT, Robert",USA,United States,Men,long jump,Men,Silver
Athens,Greece,1896,Athletics,Athletics,"KELLNER, Gyula",HUN,Hungary,Men,marathon,Men,Bronze
Athens,Greece,1896,Athletics,Athletics,"LOUIS, Spyridon",GRE,Greece,Men,marathon,Men,Gold
Athens,Greece,1896,Athletics,Athletics,"VASILAKOS, Kharilaos",GRE,Greece,Men,marathon,Men,Silver
Athens,Greece,1896,Athletics,Athletics,"DAMASKOS, Evangelos",GRE,Greece,Men,pole vault,Men,Bronze
Athens,Greece,1896,Athletics,Athletics,"THEODOROPOULOS, Ioannis",GRE,Greece,Men,pole vault,Men,Bronze
Athens,Greece,1896,Athletics,Athletics,"HOYT, William Welles",USA,United States,Men,pole vault,Men,Gold
Athens,Greece,1896,Athletics,Athletics,"TYLER, Albert",USA,United States,Men,pole vault,Men,Silver
Athens,Greece,1896,Athletics,Athletics,"PAPASIDERIS, Georgios",GRE,Greece,Men,shot put,Men,Bronze
Athens,Greece,1896,Athletics,Athletics,"GARRETT, Robert",USA,United States,Men,shot put,Men,Gold
Athens,Greece,1896,Athletics,Athletics,"GOUSKOS, Miltiadis",GRE,Greece,Men,shot put,Men,Silver
Athens,Greece,1896,Athletics,Athletics,"PERSAKIS, Ioannis",GRE,Greece,Men,triple jump,Men,Bronze
Athens,Greece,1896,Athletics,Athletics,"CONNOLLY, James",USA,United States,Men,triple jump,Men,Gold
Athens,Greece,1896,Athletics,Athletics,"TUFFERI, Alexandre",FRA,France,Men,triple jump,Men,Silver
Athens,Greece,1896,Cycling,Cycling Road,"BATTEL, Edward",GBR,United Kingdom,Men,individual road race,Men,Bronze
Athens,Greece,1896,Cycling,Cycling Road,"KONSTANTINIDIS, Aristidis",GRE,Greece,Men,individual road race,Men,Gold
Athens,Greece,1896,Cycling,Cycling Road,"GOEDRICH, August",GER,Germany,Men,individual road race,Men,Silver
Athens,Greece,1896,Cycling,Cycling Track,"FLAMENG, LÇon",FRA,France,Men,100km,Men,Gold
